ID;Nombre_Aportante;Tipo_Aportante;Candidato;Tipo_Donatorio;ID_Eleccion;Territorio;ID_Partido;Partido;Tipo_Aporte;Fecha_de_Transferencia;Monto;Unnamed: 10;Unnamed: 11;Unnamed: 12
0;SEBASTIAN IGNACIO CASTILLO FERNANDEZ;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;02-10-17;$1;;;
1;LUIS EUJENIO MANDIOLA SOLAR;PERSONA NATURAL;CAROLINA GOIC BOROEVIC;CANDIDATO;PRESIDENTE;NACIONAL;PDC;PARTIDO DEMOCRATA CRISTIANO;PÚBLICO;14-09-17;$100.000;;;
2;ANA MARIA LAGOS HERRERA;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;20-09-17;$10.000;;;
3;MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO;PERSONA NATURAL;MARCO ENRIQUEZ-OMINAMI GUMUCIO;CANDIDATO;PRESIDENTE;NACIONAL;PP;PARTIDO PROGRESISTA;PROPIO;14-09-17;$3.000.000;;;
4;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$150.000;;;
5;ERIC ORLANDO NAVARRO TORRES;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;08-09-17;$50.000;;;
6;;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;29-08-17;$30.000;;;
7;DANIEL GONZALO ARANCIBIA GUERRA;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;29-08-17;$10.000;;;
8;;PERSONA NATURAL;ALEJANDRO GUILLIER ALVAREZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;NO PÚBLICO;21-09-17;$20.000;;;
9;CLAUDIA ALICIA VELASQUEZ OJEDA;PERSONA NATURAL;BEATRIZ SANCHEZ MUÑOZ;CANDIDATO;PRESIDENTE;NACIONAL;IND;INDEPENDIENTES;PÚBLICO;29-08-17;$10.000;;;
