Ano;ID Eleccion;ID Region;Territorio;Partido;Candidato;Sexo;Edad
2013;PRESIDENCIAL;;NACIONAL;PARTIDO ECOLOGISTA VERDE;SFEIR YOUNIS ALFREDO;HOMBRE;66
2013;PRESIDENCIAL;;NACIONAL;PARTIDO SOCIALISTA DE CHILE;BACHELET JERIA MICHELLE;MUJER;62
2013;PRESIDENCIAL;;NACIONAL;PARTIDO REGIONALISTA DE LOS INDEPENDIENTES;ISRAEL ZIPPER RICARDO;HOMBRE;63
2013;PRESIDENCIAL;;NACIONAL;INDEPENDIENTE;PARISI FERNANDEZ FRANCO ALDO;HOMBRE;46
2013;PRESIDENCIAL;;NACIONAL;INDEPENDIENTE;JOCELYN-HOLT LETELIER TOMAS;HOMBRE;50
2013;PRESIDENCIAL;;NACIONAL;UNION DEMOCRATA INDEPENDIENTE;MATTHEI FORNET EVELYN;MUJER;60
2013;PRESIDENCIAL;;NACIONAL;PARTIDO HUMANISTA;CLAUDE REYES MARCEL;HOMBRE;56
2013;PRESIDENCIAL;;NACIONAL;PARTIDO IGUALDAD;MIRANDA MENESES ROXANA;MUJER;46
2013;PRESIDENCIAL;;NACIONAL;PARTIDO PROGRESISTA;ENRIQUEZ-OMINAMI GUMUCIO MARCO;HOMBRE;40
2013;SENADORES;2;Circunscripción Senatorial 2;UNION DEMOCRATA INDEPENDIENTE;ROJAS MOLINA MANUEL ERNESTO;HOMBRE;54
2013;SENADORES;2;Circunscripción Senatorial 2;INDEPENDIENTE;CANTERO OJEDA CARLOS;HOMBRE;57
2013;SENADORES;2;Circunscripción Senatorial 2;INDEPENDIENTE;GUEVARA CORTES DANIEL;HOMBRE;41
2013;SENADORES;2;Circunscripción Senatorial 2;INDEPENDIENTE;ORREGO HENRIQUEZ JIMENA ESTRELLA;MUJER;46
2013;SENADORES;2;Circunscripción Senatorial 2;INDEPENDIENTE;ARAYA GUERRERO PEDRO;HOMBRE;39
2013;SENADORES;2;Circunscripción Senatorial 2;INDEPENDIENTE;GUILLIER ALVAREZ ALEJANDRO;HOMBRE;60
2013;SENADORES;2;Circunscripción Senatorial 2;PARTIDO HUMANISTA;CONTRERAS BRAÑA GISELA;MUJER;37
2013;SENADORES;4;Circunscripción Senatorial 4;RENOVACION NACIONAL;BERTOLINO RENDIC MARIO;HOMBRE;59
2013;SENADORES;4;Circunscripción Senatorial 4;UNION DEMOCRATA INDEPENDIENTE;URIARTE HERRERA GONZALO;HOMBRE;48
2013;SENADORES;4;Circunscripción Senatorial 4;PARTIDO DEMOCRATA CRISTIANO;PIZARRO SOTO JORGE;HOMBRE;61
2013;SENADORES;4;Circunscripción Senatorial 4;PARTIDO POR LA DEMOCRACIA;MUÑOZ D'ALBORA ADRIANA;MUJER;65
2013;SENADORES;4;Circunscripción Senatorial 4;PARTIDO HUMANISTA;VEGA GONZALEZ LUIS;HOMBRE;51
2013;SENADORES;6;Circunscripción Senatorial 9;RENOVACION NACIONAL;CARDEMIL HERRERA ALBERTO;HOMBRE;68
2013;SENADORES;6;Circunscripción Senatorial 9;UNION DEMOCRATA INDEPENDIENTE;GARCIA-HUIDOBRO SANFUENTES ALEJANDRO;HOMBRE;61
2013;SENADORES;6;Circunscripción Senatorial 9;PARTIDO DEMOCRATA CRISTIANO;LATORRE CARMONA JUAN CARLOS;HOMBRE;64
2013;SENADORES;6;Circunscripción Senatorial 9;PARTIDO SOCIALISTA DE CHILE;LETELIER MOREL JUAN PABLO;HOMBRE;52
2013;SENADORES;6;Circunscripción Senatorial 9;PARTIDO HUMANISTA;GARCIA MERINO LUIS FELIPE;HOMBRE;61
2013;SENADORES;8;Circunscripción Senatorial 12;INDEPENDIENTE;CONTESSE GONZALEZ DANIEL;HOMBRE;67
2013;SENADORES;8;Circunscripción Senatorial 12;UNION DEMOCRATA INDEPENDIENTE;VAN RYSSELBERGHE HERRERA JACQUELINE;MUJER;48
2013;SENADORES;8;Circunscripción Senatorial 12;PARTIDO ECOLOGISTA VERDE;GONZALEZ GATICA GRACIELA;MUJER;44
2013;SENADORES;8;Circunscripción Senatorial 12;PARTIDO IGUALDAD;SANDOVAL OJEDA JAVIER;HOMBRE;43
2013;SENADORES;8;Circunscripción Senatorial 12;MOVIMIENTO AMPLIO SOCIAL;NAVARRO BRAIN ALEJANDRO;HOMBRE;54
2013;SENADORES;8;Circunscripción Senatorial 12;PARTIDO SOCIALISTA DE CHILE;ESCALONA MEDINA CAMILO;HOMBRE;58
2013;SENADORES;8;Circunscripción Senatorial 12;PARTIDO HUMANISTA;MUÑOZ GUTIERREZ LORETO;MUJER;54
2013;SENADORES;8;Circunscripción Senatorial 12;INDEPENDIENTE;GARAY PITA RAFAEL EDUARDO;HOMBRE;37
2013;SENADORES;8;Circunscripción Senatorial 12;INDEPENDIENTE;VASQUEZ VARELA OSMAN LENIN;HOMBRE;42
2013;SENADORES;8;Circunscripción Senatorial 13;RENOVACION NACIONAL;OYARCE SUAZO ROSA;MUJER;56
2013;SENADORES;8;Circunscripción Senatorial 13;UNION DEMOCRATA INDEPENDIENTE;PEREZ VARELA VICTOR;HOMBRE;59
2013;SENADORES;8;Circunscripción Senatorial 13;INDEPENDIENTE;CARRASCO FRAY JUANITA ODETT;MUJER;64
2013;SENADORES;8;Circunscripción Senatorial 13;INDEPENDIENTE;SEGUEL SAN MARTIN HECTOR JOAQUIN;HOMBRE;57
2013;SENADORES;8;Circunscripción Senatorial 13;PARTIDO DEMOCRATA CRISTIANO;SABAG CASTILLO HOSAIN;HOMBRE;76
2013;SENADORES;8;Circunscripción Senatorial 13;PARTIDO POR LA DEMOCRACIA;HARBOE BASCUÑAN FELIPE;HOMBRE;41
2013;SENADORES;10;Circunscripción Senatorial 17;RENOVACION NACIONAL;KUSCHEL SILVA CARLOS IGNACIO;HOMBRE;60
2013;SENADORES;10;Circunscripción Senatorial 17;UNION DEMOCRATA INDEPENDIENTE;MOREIRA BARROS IVAN;HOMBRE;56
2013;SENADORES;10;Circunscripción Senatorial 17;PARTIDO DEMOCRATA CRISTIANO;ASCENCIO MANSILLA GABRIEL;HOMBRE;60
2013;SENADORES;10;Circunscripción Senatorial 17;PARTIDO SOCIALISTA DE CHILE;QUINTEROS LARA RABINDRANATH;HOMBRE;70
2013;SENADORES;12;Circunscripción Senatorial 19;INDEPENDIENTE;BERGER DEMPSTER FRANCISCO;HOMBRE;51
2013;SENADORES;12;Circunscripción Senatorial 19;INDEPENDIENTE;MARINOVIC SOLO DE ZALDIVAR MIODRAG;HOMBRE;46
2013;SENADORES;12;Circunscripción Senatorial 19;INDEPENDIENTE;BIANCHI CHELECH CARLOS;HOMBRE;53
2013;SENADORES;12;Circunscripción Senatorial 19;INDEPENDIENTE;TAPIA OGEDA SERGIO NELSON;HOMBRE;64
2013;SENADORES;12;Circunscripción Senatorial 19;PARTIDO DEMOCRATA CRISTIANO;GOIC BOROEVIC CAROLINA;MUJER;40
2013;SENADORES;12;Circunscripción Senatorial 19;PARTIDO SOCIALISTA DE CHILE;MUÑOZ ABURTO PEDRO;HOMBRE;69
2013;SENADORES;13;Circunscripción Senatorial 7;RENOVACION NACIONAL;ALLAMAND ZAVALA ANDRES;HOMBRE;57
2013;SENADORES;13;Circunscripción Senatorial 7;UNION DEMOCRATA INDEPENDIENTE;ZALAQUETT SAID PABLO;HOMBRE;50
2013;SENADORES;13;Circunscripción Senatorial 7;INDEPENDIENTE;GUTIERREZ GONZALEZ EDUARDO;HOMBRE;62
2013;SENADORES;13;Circunscripción Senatorial 7;PARTIDO IGUALDAD;FLORES RAMIREZ SERGIO ENRIQUE;HOMBRE;55
2013;SENADORES;13;Circunscripción Senatorial 7;PARTIDO DEMOCRATA CRISTIANO;UNDURRAGA VICUÑA ALBERTO;HOMBRE;44
2013;SENADORES;13;Circunscripción Senatorial 7;PARTIDO POR LA DEMOCRACIA;GIRARDI LAVIN GUIDO;HOMBRE;52
2013;SENADORES;13;Circunscripción Senatorial 7;PARTIDO HUMANISTA;ALFSEN OVANDO WILFREDO;HOMBRE;64
2013;SENADORES;13;Circunscripción Senatorial 7;PARTIDO HUMANISTA;MUÑOZ FLORES CARLOS ALBERTO;HOMBRE;37
2013;SENADORES;13;Circunscripción Senatorial 8;INDEPENDIENTE;GOLBORNE RIVEROS LAURENCE;HOMBRE;52
2013;SENADORES;13;Circunscripción Senatorial 8;RENOVACION NACIONAL;OSSANDON IRARRAZABAL MANUEL JOSE;HOMBRE;51
2013;SENADORES;13;Circunscripción Senatorial 8;INDEPENDIENTE;RENDON ESCOBAR LUIS MARIANO;HOMBRE;50
2013;SENADORES;13;Circunscripción Senatorial 8;PARTIDO IGUALDAD;CARRASCO MORA IVAN;HOMBRE;43
2013;SENADORES;13;Circunscripción Senatorial 8;PARTIDO DEMOCRATA CRISTIANO;ALVEAR VALENZUELA SOLEDAD;MUJER;63
2013;SENADORES;13;Circunscripción Senatorial 8;PARTIDO SOCIALISTA DE CHILE;MONTES CISTERNAS CARLOS;HOMBRE;67
2013;SENADORES;13;Circunscripción Senatorial 8;PARTIDO HUMANISTA;GUZMAN SINKOVICH PATRICIO GUSTAVO;HOMBRE;56
2013;SENADORES;13;Circunscripción Senatorial 8;PARTIDO HUMANISTA;OSSA LAGARRIGUE JUAN GUILLERMO;HOMBRE;60
2013;SENADORES;13;Circunscripción Senatorial 8;INDEPENDIENTE;CARREÑO FRAILE JOSE ANTONIO;HOMBRE;36
2013;SENADORES;13;Circunscripción Senatorial 8;INDEPENDIENTE;SILVA CUADRA ESTEBAN VALERIO;HOMBRE;49
2013;SENADORES;14;Circunscripción Senatorial 16;RENOVACION NACIONAL;SCHULTZ OETTINGER FERNANDO ANDRES;HOMBRE;46
2013;SENADORES;14;Circunscripción Senatorial 16;UNION DEMOCRATA INDEPENDIENTE;VON BAER JAHN ENA;MUJER;38
2013;SENADORES;14;Circunscripción Senatorial 16;INDEPENDIENTE;ARAVENA RETAMAL ALEJANDRO;HOMBRE;49
2013;SENADORES;14;Circunscripción Senatorial 16;INDEPENDIENTE;CANDIA OAKLEY DULCELINA YOLANDA ISABEL;MUJER;51
2013;SENADORES;14;Circunscripción Senatorial 16;PARTIDO COMUNISTA DE CHILE;MARDONES RIQUELME ABERNEGO;HOMBRE;64
2013;SENADORES;14;Circunscripción Senatorial 16;PARTIDO SOCIALISTA DE CHILE;DE URRESTI LONGTON ALFONSO;HOMBRE;47
2013;SENADORES;14;Circunscripción Senatorial 16;PARTIDO HUMANISTA;MUÑOZ FIGUEROA RODRIGO;HOMBRE;50
2013;DIPUTADOS;1;Distrito Electoral 2;RENOVACION NACIONAL;JOFRE NUÑEZ NESTOR;HOMBRE;66
2013;DIPUTADOS;1;Distrito Electoral 2;UNION DEMOCRATA INDEPENDIENTE;TRISOTTI MARTINEZ RENZO;HOMBRE;37
2013;DIPUTADOS;1;Distrito Electoral 2;INDEPENDIENTE;ISASI BARBIERI MARTA ELIANA;MUJER;47
2013;DIPUTADOS;1;Distrito Electoral 2;PARTIDO COMUNISTA DE CHILE;GUTIERREZ GALVEZ HUGO;HOMBRE;52
2013;DIPUTADOS;1;Distrito Electoral 2;PARTIDO RADICAL SOCIALDEMOCRATA;LIENDO SALAS JUAN CARLOS;HOMBRE;49
2013;DIPUTADOS;1;Distrito Electoral 2;PARTIDO HUMANISTA;CORRALES VILLALOBOS LUIS ALBERTO;HOMBRE;61
2013;DIPUTADOS;1;Distrito Electoral 2;PARTIDO HUMANISTA;FUENTES MANRIQUEZ CRISTIAN;HOMBRE;26
2013;DIPUTADOS;1;Distrito Electoral 2;PARTIDO REGIONALISTA DE LOS INDEPENDIENTES;TICUNA VILCA HECTOR CARLOS;HOMBRE;41
2013;DIPUTADOS;1;Distrito Electoral 2;PARTIDO PROGRESISTA;JAMETT PIZARRO CRISTIAN ANDRES;HOMBRE;36
2013;DIPUTADOS;2;Distrito Electoral 3;RENOVACION NACIONAL;AGUSTO PEREZ DANIEL;HOMBRE;37
2013;DIPUTADOS;2;Distrito Electoral 3;UNION DEMOCRATA INDEPENDIENTE;WARD EDWARDS FELIPE;HOMBRE;41
2013;DIPUTADOS;2;Distrito Electoral 3;INDEPENDIENTE;HEVIA GARRIDO BERNARDO;HOMBRE;52
2013;DIPUTADOS;2;Distrito Electoral 3;INDEPENDIENTE;REYES ARAYA WILSON MANUEL;HOMBRE;46
