ID Eleccion;ID Region;Region;Territorio;Candidato(a);Nombre;Paterno;Materno;Sexo;Edad;Rango;ID Partido;Partido
ALCALDES;1;DE TARAPACA;ALTO HOSPICIO;CAMILA ARCE FAJARDO;CAMILA;ARCE;FAJARDO;FEMENINO;38;35-39;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;ALTO HOSPICIO;GERMAN ANTONIO QUIROZ CANCINO;GERMAN ANTONIO;QUIROZ;CANCINO;MASCULINO;68;65-69;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;ALTO HOSPICIO;JORGE ZAVALA VALENZUELA;JORGE;ZAVALA;VALENZUELA;MASCULINO;42;40-44;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;ALTO HOSPICIO;PATRICIO FERREIRA RIVERA;PATRICIO;FERREIRA;RIVERA;MASCULINO;54;50-54;PDC;PARTIDO DEMOCRATA CRISTIANO
ALCALDES;1;DE TARAPACA;ALTO HOSPICIO;PAULA ANDREA ASTUDILLO DIAZ;PAULA ANDREA;ASTUDILLO;DIAZ;FEMENINO;33;30-34;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;ALTO HOSPICIO;RENE DANIEL CACERES ARAYA;RENE DANIEL;CACERES;ARAYA;MASCULINO;53;50-54;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;CAMIÑA;ALEX DEMETRIO CARLOS SANCHEZ;ALEX DEMETRIO;CARLOS;SANCHEZ;MASCULINO;52;50-54;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;CAMIÑA;EVELYN MAMANI VIZA;EVELYN;MAMANI;VIZA;FEMENINO;40;40-44;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;CAMIÑA;MARINA DEL CARMEN LUNA PLATERO;MARINA DEL CARMEN;LUNA;PLATERO;FEMENINO;57;55-59;RN;RENOVACION NACIONAL
ALCALDES;1;DE TARAPACA;COLCHANE;ANDRES GARCIA FLORES;ANDRES;GARCIA;FLORES;MASCULINO;31;30-34;UDI;UNION DEMOCRATA INDEPENDIENTE
ALCALDES;1;DE TARAPACA;COLCHANE;JAVIER IGNACIO GARCIA CHOQUE;JAVIER IGNACIO;GARCIA;CHOQUE;MASCULINO;45;45-49;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;HUARA;CARLOS ENRIQUE SILVA RIQUELME;CARLOS ENRIQUE;SILVA;RIQUELME;MASCULINO;42;40-44;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;HUARA;JOSE BARTOLO VINAYA;JOSE;BARTOLO;VINAYA;MASCULINO;42;40-44;UDI;UNION DEMOCRATA INDEPENDIENTE
ALCALDES;1;DE TARAPACA;HUARA;OSCAR PANTOJA TORO;OSCAR;PANTOJA;TORO;MASCULINO;65;65-69;PS;PARTIDO SOCIALISTA DE CHILE
ALCALDES;1;DE TARAPACA;HUARA;PAMELA ISABEL CARVAJAL CARLOS;PAMELA ISABEL;CARVAJAL;CARLOS;FEMENINO;36;35-39;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;IQUIQUE;DANIELA CECILIA SOLARI VEGA;DANIELA CECILIA;SOLARI;VEGA;FEMENINO;42;40-44;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;IQUIQUE;FRANCISCO ALCAYAGA MOTTA;FRANCISCO;ALCAYAGA;MOTTA;MASCULINO;35;35-39;IND;INDEPENDIENTES
ALCALDES;1;DE TARAPACA;IQUIQUE;MATIAS FELIPE RAMIREZ PASCAL;MATIAS FELIPE;RAMIREZ;PASCAL;MASCULINO;36;35-39;PCCH;PARTIDO COMUNISTA DE CHILE
